2022/5/25 14:32:0,0.00,0.00,-127.00,926.43,20.71,61.81,42.06,123,0.00,0.00,0.00,519
2022/5/25 14:33:0,0.00,0.00,-87.29,926.35,20.73,61.84,41.10,123,0.00,0.00,0.00,568
2022/5/25 14:34:0,0.00,0.00,-127.00,926.70,20.75,62.11,43.00,123,0.00,0.00,0.00,15
2022/5/25 14:35:0,0.00,0.00,-127.00,926.34,20.77,61.86,45.19,123,0.00,0.00,0.00,69
2022/5/25 14:36:0,0.00,0.00,-127.00,926.32,20.79,61.80,42.22,122,0.00,0.00,0.00,123
2022/5/25 14:37:0,0.00,0.00,-127.00,926.40,20.80,61.76,38.89,122,0.00,0.00,0.00,177
2022/5/25 14:39:0,0.00,0.00,-24.02,926.12,20.82,61.70,41.61,123,0.00,0.00,0.00,260
2022/5/25 14:41:0,0.00,0.00,23.08,925.97,20.86,73.98,43.60,122,0.00,1.60,0.00,335
2022/5/25 14:42:0,0.00,0.00,23.17,925.96,20.88,61.35,44.43,122,0.00,0.00,0.00,372
2022/5/25 14:44:0,0.00,0.00,23.23,925.97,20.90,61.19,43.60,122,0.00,0.00,0.00,447
2022/5/25 14:45:0,0.00,0.00,23.33,926.00,20.93,61.01,44.30,123,0.00,0.00,0.00,484
2022/5/25 14:47:0,0.00,0.00,23.39,926.06,20.95,60.93,44.23,122,0.00,0.00,0.00,559
2022/5/25 14:50:0,0.00,0.00,23.50,925.99,20.99,60.54,43.29,122,0.00,0.00,0.00,71
2022/5/25 14:58:0,0.00,0.00,23.80,925.99,21.12,60.86,43.84,123,0.00,0.00,0.00,55
2022/5/25 14:59:0,0.00,0.00,23.87,926.24,21.15,60.90,40.22,123,0.00,0.00,0.00,92
2022/5/25 15:1:0,0.00,0.00,23.92,925.98,21.17,60.13,43.44,123,0.00,0.00,0.00,167
2022/5/25 15:2:0,0.00,0.00,23.95,925.89,21.19,59.96,43.68,122,0.00,0.00,0.00,204
2022/5/25 15:4:0,0.00,0.00,23.99,926.02,21.21,60.09,44.55,123,0.00,0.00,0.00,279
2022/5/25 15:6:0,0.00,0.00,23.95,925.98,21.24,59.91,41.69,122,0.00,0.00,0.00,354
2022/5/25 15:7:0,0.00,0.00,24.06,926.16,21.26,59.91,45.65,122,0.00,0.00,0.00,391
2022/5/25 15:9:0,0.00,0.00,24.04,925.96,21.28,60.09,42.88,122,0.00,0.00,0.00,466
2022/5/25 15:10:0,0.00,0.00,24.08,925.96,21.31,59.90,42.65,123,0.00,0.00,0.00,503
2022/5/25 15:12:0,0.00,0.00,24.16,925.95,21.33,59.81,41.85,122,0.00,0.00,0.00,578
2022/5/25 15:13:0,0.00,0.00,24.19,925.96,21.35,59.82,46.56,122,0.00,0.00,0.00,15
2022/5/25 15:15:0,0.00,0.00,24.20,925.97,21.36,72.26,40.92,123,0.00,0.00,0.00,90
2022/5/25 15:16:0,0.00,0.00,24.17,925.96,21.38,59.74,44.08,122,0.00,0.00,0.00,127
2022/5/25 15:18:0,0.00,0.00,24.18,925.93,21.40,59.63,44.61,122,0.00,0.00,0.00,202
2022/5/25 15:20:0,0.00,0.00,24.18,925.89,21.42,60.33,42.01,122,0.00,0.00,0.00,277
2022/5/25 15:21:0,0.00,0.00,24.24,926.08,21.44,60.26,41.05,122,0.00,0.00,0.00,314
2022/5/25 15:23:0,0.00,0.00,24.30,926.10,21.46,60.59,40.25,123,0.00,0.00,0.00,389
2022/5/25 15:24:0,0.00,0.00,24.32,926.00,21.48,60.40,45.32,123,0.00,0.00,0.00,426
2022/5/25 15:26:0,0.00,0.00,24.35,925.93,21.51,60.14,41.35,122,0.00,0.00,0.00,501
2022/5/25 15:27:0,0.00,0.00,24.18,925.93,21.53,60.10,44.38,122,0.00,0.00,0.00,538
2022/5/25 15:29:0,0.00,0.00,24.27,926.17,21.55,59.76,48.29,122,0.00,0.00,0.00,13
2022/5/25 15:30:0,0.00,0.00,24.30,925.96,21.56,59.66,45.59,123,0.00,0.00,0.00,50
2022/5/25 15:32:0,0.00,0.00,24.35,925.98,21.57,59.92,40.19,123,0.00,0.00,0.00,125
2022/5/25 15:34:0,0.00,0.00,24.27,926.00,21.59,59.88,41.88,122,0.00,0.00,0.00,200
2022/5/25 15:35:0,0.00,0.00,24.38,926.16,21.60,59.83,42.54,122,0.00,0.00,0.00,237
2022/5/25 15:37:0,0.00,0.00,24.41,926.32,21.61,59.76,42.87,122,0.00,0.00,0.00,312
2022/5/25 15:38:0,0.00,0.00,24.50,925.96,21.62,59.79,43.46,123,0.00,0.00,0.00,349
2022/5/25 15:40:0,0.00,0.00,24.54,925.87,21.63,59.75,42.00,122,0.00,0.00,0.00,424
2022/5/25 15:41:0,0.00,0.00,24.61,926.00,21.64,59.71,42.03,122,0.00,0.00,0.00,461
2022/5/25 15:43:0,0.00,0.00,24.58,925.98,21.64,59.66,42.77,123,0.00,0.00,0.00,536
2022/5/25 15:46:0,0.00,0.00,24.51,925.93,21.65,60.27,41.63,123,0.00,0.00,0.00,48
2022/5/25 15:48:0,0.00,0.00,24.53,926.10,21.67,60.33,43.96,122,0.00,0.00,0.00,123
2022/5/25 15:49:0,0.00,0.00,24.54,926.08,21.68,59.87,42.19,123,0.00,0.00,0.00,160
2022/5/25 15:51:0,0.00,0.00,24.53,926.06,21.68,59.95,42.11,122,0.00,0.00,0.00,235
2022/5/25 15:52:0,0.00,0.00,24.60,926.00,21.69,59.97,43.46,122,0.00,0.00,0.00,272
2022/5/25 15:54:0,0.00,0.00,24.57,926.02,21.70,59.78,43.20,122,0.00,0.00,0.00,347
2022/5/25 15:56:0,0.00,0.00,24.64,926.00,21.71,59.55,43.95,122,0.00,0.00,0.00,422
2022/5/25 15:57:0,0.00,0.00,24.67,925.93,21.72,59.50,44.76,122,0.00,0.00,0.00,459
2022/5/25 15:59:0,0.00,0.00,24.71,926.04,21.72,59.34,43.88,122,0.00,0.00,0.00,534
2022/5/25 16:0:0,0.00,0.00,24.71,926.00,21.71,59.54,44.97,123,0.00,0.00,0.00,571
2022/5/25 16:2:0,0.00,0.00,24.68,926.03,21.70,59.30,44.13,123,0.00,0.00,0.00,46
2022/5/25 16:3:0,0.00,0.00,24.70,925.93,21.69,58.95,44.78,122,0.00,0.00,0.00,83
2022/5/25 16:5:0,0.00,0.00,24.66,925.97,21.69,59.07,42.69,122,0.00,0.00,0.00,158
2022/5/25 16:6:0,0.00,0.00,24.62,926.00,21.68,58.95,43.46,123,0.00,0.00,0.00,195
2022/5/25 16:8:0,0.00,0.00,24.59,926.00,21.68,58.82,43.49,122,0.00,0.00,0.00,270
2022/5/25 16:10:0,0.00,0.00,24.61,926.00,21.67,59.09,44.45,122,0.00,0.00,0.00,345
2022/5/25 16:11:0,0.00,0.00,24.59,926.08,21.66,59.26,43.08,123,0.00,0.00,0.00,382
2022/5/25 16:13:0,0.00,0.00,24.57,925.89,34.67,59.53,41.56,122,0.00,0.00,0.00,457
2022/5/25 16:14:0,0.00,0.00,24.57,925.96,21.63,59.58,42.32,123,0.00,0.00,0.00,494
2022/5/25 16:16:0,0.00,0.00,24.59,925.96,34.65,59.65,43.40,122,0.00,0.00,0.00,569
2022/5/25 16:17:0,0.00,0.00,24.56,925.96,21.60,59.62,37.57,122,0.00,0.00,0.00,6
2022/5/25 16:19:0,0.00,0.00,24.57,926.04,21.59,59.45,40.61,123,0.00,0.00,0.00,81
2022/5/25 16:20:0,0.00,0.00,24.55,926.04,21.57,59.28,44.08,122,0.00,0.00,0.00,118
2022/5/25 16:22:0,0.00,0.00,24.54,925.97,21.55,59.38,44.47,123,0.00,0.00,0.00,193
2022/5/25 16:23:0,0.00,0.00,24.52,926.08,21.53,84.89,42.65,123,0.00,0.00,0.00,230
2022/5/25 16:25:0,0.00,0.00,24.50,925.97,21.52,59.56,42.36,122,0.00,0.00,0.00,305
2022/5/25 16:27:0,0.00,0.00,24.47,926.06,21.49,59.62,43.21,123,0.00,0.00,0.00,380
2022/5/25 16:28:0,0.00,0.00,24.45,926.04,21.48,85.02,42.62,123,0.00,0.00,0.00,417
2022/5/25 16:30:0,0.00,0.00,24.44,925.98,21.46,59.60,43.80,123,0.00,0.00,0.00,492
2022/5/25 16:31:0,0.00,0.00,24.44,925.93,21.44,59.61,43.57,122,0.00,0.00,0.00,529
2022/5/25 16:33:0,0.00,0.00,23.87,925.96,21.42,59.41,40.00,123,0.00,0.00,0.00,4
2022/5/25 16:34:0,0.00,0.00,23.90,925.93,21.42,59.44,42.95,122,0.00,0.00,0.00,41
