2022/10/12 0:0:17,0.00,0.00,21.00,926.44,18.42,74.70,101.50,124,0.00,0.00,0.00,964123
2022/10/12 0:1:17,0.00,0.00,21.08,926.55,18.42,74.72,64.81,110,0.00,0.00,0.00,1024438
2022/10/12 0:2:18,0.00,0.00,21.00,926.46,18.43,74.74,109.43,126,0.00,0.00,0.00,1084774
2022/10/12 0:3:18,0.00,0.00,21.00,926.42,18.43,74.66,100.30,123,0.00,0.00,0.00,1145090
2022/10/12 0:4:19,0.00,0.00,21.43,926.66,18.44,74.69,98.40,122,0.00,0.00,0.00,1205426
2022/10/12 0:5:19,0.00,0.00,22.00,926.73,18.44,74.56,88.71,117,0.00,0.00,0.00,1265737
2022/10/12 0:6:20,0.00,0.00,22.00,926.46,18.44,74.12,100.52,121,0.00,0.00,0.00,1326076
2022/10/12 0:7:20,0.00,0.00,22.00,926.21,18.45,74.58,73.72,114,0.00,0.00,0.00,1386389
2022/10/12 0:8:21,0.00,0.00,22.00,926.37,18.46,74.67,87.33,119,0.00,0.00,0.00,1446725
